INCIDENT_NUMBER,SR_CREATION_CHANNEL,INCIDENT_ADDRESS,STATUS,GROUP_NAME,NAME,INCIDENT_DATE,ATTRIBUTE5,ATTRIBUTE6
330878,AGENT,CASINO PARK MARINO,CLOSED,North Central Area Office,Illegal Dumping,17/11/2011,318062,237221
330248,AGENT,NIALL STREET ARBOUR HILL 29,CLOSED,Central Area Office,Illegal Dumping,15/11/2011,713821.23,735077.52
329740,AGENT,HOLYWELL CRESCENT DONAGHMEDE 2,CLOSED,North Central Area Office,Illegal Dumping,14/11/2011,722340.16,739626.20
329592,AGENT,PALMERSTON COURT RATHMINES 3,CLOSED,South East Area Office,Illegal Dumping,14/11/2011,715865.16,731356.43
328572,AGENT,NORTH CIRCULAR ROAD 163,CLOSED,Central Area Office,Illegal Dumping,10/11/2011,713806.62,735468.35
328468,AGENT,CROMCASTLE CLOSE COOLOCK 16,CLOSED,North Central Area Office,Illegal Dumping,10/11/2011,718331.57,739714.87
331066,AGENT,GRAND CANAL STREET UPPER BALLSBRIDGE 33,CLOSED,South East Area Office,Illegal Dumping,17/11/2011,717409.49,733406.40
330946,AGENT,COLLINS PARK BEAUMONT 71,CLOSED,North Central Area Office,Illegal Dumping,17/11/2011,718196.56,737845.66
330874,AGENT,ARMSTRONG WALK ARTANE 1,CLOSED,North Central Area Office,Illegal Dumping,17/11/2011,719013.75,739533.70
330668,AGENT,CHURCH AVENUE SOUTH RIALTO 25,CLOSED,South Central Area Office,Illegal Dumping,16/11/2011,713616.83,733121.59
330658,AGENT,SYNGE STREET 45,CLOSED,South East Area Office,Illegal Dumping,16/11/2011,715438.81,732885.88
315934,AGENT,GLENARRIFF ROAD CABRA 48,CLOSED,Central Area Office,Illegal Dumping,14/10/2011,711609.92,737185.60
312588,AGENT,BENBURB STREET SMITHFIELD,CLOSED,Central Area Office,Illegal Dumping,07/10/2011,313933,234346
322622,AGENT,KILDARE ROAD CRUMLIN,CLOSED,Waste Management,Illegal Dumping,27/10/2011,312164,231761
321570,AGENT,ANNA VILLA RANELAGH 25,CLOSED,South East Area Office,Illegal Dumping,25/10/2011,716463.30,731585.88
327214,AGENT,SOUTH CIRCULAR ROAD 1,CLOSED,South East Area Office,Illegal Dumping,07/11/2011,715328.64,732735.90
324500,AGENT,ANNALY ROAD CABRA 10,CLOSED,Central Area Office,Illegal Dumping,01/11/2011,713948.92,736171.84
327132,AGENT,SOUTH DOCK STREET RINGSEND,CLOSED,South East Area Office,Illegal Dumping,07/11/2011,317528,233692
326904,AGENT,SYDNEY PARADE AVENUE SANDYMOUNT,CLOSED,South East Area Office,Illegal Dumping,07/11/2011,319102,231352
321394,AGENT,MCKELVEY ROAD FINGLAS EAST 15A,CLOSED,North West Area Office,Illegal Dumping,25/10/2011,712706.37,740151.33
327106,AGENT,EAST ROAD EAST WALL 86,CLOSED,Central Area Office,Illegal Dumping,07/11/2011,717698.11,735082.45
327100,AGENT,EAST ROAD EAST WALL 68_72 ALEXANDRA PLACE,CLOSED,Central Area Office,Illegal Dumping,07/11/2011,717723.63,735165.05
327098,AGENT,EAST ROAD EAST WALL,CLOSED,Central Area Office,Illegal Dumping,07/11/2011,317584,234760
327480,AGENT,SHANGAN GREEN BALLYMUN 23,CLOSED,North West Area Office,Illegal Dumping,08/11/2011,715921.35,739738.85
322470,AGENT,FAIRVIEW STRAND FAIRVIEW,CLOSED,North Central Area Office,Illegal Dumping,27/10/2011,317052,236029
319572,AGENT,WELLINGTON STREET UPPER PHIBSBOROUGH DAMER COURT 35,CLOSED,Central Area Office,Illegal Dumping,21/10/2011,715209.75,735381.80
326138,AGENT,LANSDOWNE PARK BALLSBRIDGE 154,CLOSED,South East Area Office,Illegal Dumping,04/11/2011,717499.69,733036.05
326070,AGENT,TULIP COURT DARNDALE 20,CLOSED,North Central Area Office,Illegal Dumping,04/11/2011,720004.44,740718.87
322632,AGENT,SAUL ROAD CRUMLIN,CLOSED,Waste Management,Illegal Dumping,27/10/2011,313172,231859
325818,AGENT,CHURCH AVENUE SOUTH RIALTO 25,CLOSED,South Central Area Office,Illegal Dumping,03/11/2011,713616.83,733121.59
322678,AGENT,PERCY FRENCH ROAD WALKINSTOWN,CLOSED,South Central Area Office,Illegal Dumping,27/10/2011,311830,231059
325736,AGENT,CATHEDRAL VIEW COURT 2,CLOSED,South East Area Office,Illegal Dumping,03/11/2011,715084.49,733368.10
322790,AGENT,CASHEL AVENUE CRUMLIN,CLOSED,South Central Area Office,Illegal Dumping,27/10/2011,313017,230795
325500,AGENT,BLOOMFIELD AVENUE 42,CLOSED,South East Area Office,Illegal Dumping,03/11/2011,715129.20,732634.69
323108,AGENT,MYRA CLOSE INCHICORE 45,CLOSED,South Central Area Office,Illegal Dumping,28/10/2011,712229.96,733614.02
322084,AGENT,PEMBROKE COTTAGES DONNYBROOK,CLOSED,South East Area Office,Illegal Dumping,26/10/2011,317553,231624
317016,AGENT,CRAIGFORD AVENUE KILLESTER 1,CLOSED,North Central Area Office,Illegal Dumping,17/10/2011,719006.48,737888.64
316884,AGENT,FITZWILLIAM LANE 69,CLOSED,South East Area Office,Illegal Dumping,17/10/2011,716518.03,733430.08
318962,AGENT,RUTLAND AVENUE CRUMLIN 52,CLOSED,Waste Management,Illegal Dumping,20/10/2011,713749.46,732480.31
316876,AGENT,NEWBURY AVENUE CLONSHAUGH 15,CLOSED,North Central Area Office,Illegal Dumping,17/10/2011,718671.98,740609.44
326350,AGENT,PALMERSTON ROAD RATHMINES,CLOSED,South East Area Office,Illegal Dumping,04/11/2011,316030,230627
317808,AGENT,COOLEY ROAD DRIMNAGH 205,CLOSED,South Central Area Office,Illegal Dumping,18/10/2011,711399.31,732566.85
317232,AGENT,OWEN'S AVENUE CEANNT FORT MOUNT BROWN 194,CLOSED,South Central Area Office,Illegal Dumping,17/10/2011,713401.59,733616.72
325022,AGENT,GLOUCESTER PLACE UPPER 4,CLOSED,Central Area Office,Illegal Dumping,02/11/2011,716171.25,735199.67
318204,AGENT,CATHEDRAL STREET 1,CLOSED,Central Area Office,Illegal Dumping,19/10/2011,715928.19,734784.49
324704,AGENT,MARYFIELD CRESCENT ARTANE 21,CLOSED,North Central Area Office,Illegal Dumping,01/11/2011,719017.44,738612.22
320570,AGENT,CLONLIFFE ROAD DRUMCONDRA 167,CLOSED,Central Area Office,Illegal Dumping,24/10/2011,716394.69,736102.56
317000,AGENT,BLUEBELL ROAD BLUEBELL 63A,CLOSED,South Central Area Office,Illegal Dumping,17/10/2011,710908.06,732397.95
319594,AGENT,MYRA CLOSE INCHICORE,CLOSED,South Central Area Office,Illegal Dumping,21/10/2011,312314,233562
319068,AGENT,SITRIC PLACE ARBOUR HILL,CLOSED,Central Area Office,Illegal Dumping,20/10/2011,314289,234728
326116,AGENT,NORTH CIRCULAR ROAD 562,CLOSED,Central Area Office,Illegal Dumping,04/11/2011,716343.73,735584.99
317560,AGENT,DRUMFINN ROAD BALLYFERMOT 2,CLOSED,South Central Area Office,Illegal Dumping,18/10/2011,709203.57,733808.28
319256,AGENT,BELCAMP AVENUE DARNDALE 43,CLOSED,North Central Area Office,Illegal Dumping,21/10/2011,719831.65,740469.25
